_id,name,month,day,year,prefix,volume,issue,remotePath
RH18520902-V03-09,Review and Herald for 1852 - Vol. 03 - No. 09,9,2,1852,RH,3,9,http://documents.adventistarchives.org/Periodicals/RH/RH18520902-V03-09.pdf
RH18520916-V03-10,Review and Herald for 1852 - Vol. 03 - No. 10,9,16,1852,RH,3,10,http://documents.adventistarchives.org/Periodicals/RH/RH18520916-V03-10.pdf
RH18520930-V03-11,Review and Herald for 1852 - Vol. 03 - No. 11,9,30,1852,RH,3,11,http://documents.adventistarchives.org/Periodicals/RH/RH18520930-V03-11.pdf
RH18521014-V03-12,Review and Herald for 1852 - Vol. 03 - No. 12,10,14,1852,RH,3,12,http://documents.adventistarchives.org/Periodicals/RH/RH18521014-V03-12.pdf
RH18521028-V03-13,Review and Herald for 1852 - Vol. 03 - No. 13,10,28,1852,RH,3,13,http://documents.adventistarchives.org/Periodicals/RH/RH18521028-V03-13.pdf
RH18521125-V03-14,Review and Herald for 1852 - Vol. 03 - No. 14,11,25,1852,RH,3,14,http://documents.adventistarchives.org/Periodicals/RH/RH18521125-V03-14.pdf
RH18521209-V03-15,Review and Herald for 1852 - Vol. 03 - No. 15,12,9,1852,RH,3,15,http://documents.adventistarchives.org/Periodicals/RH/RH18521209-V03-15.pdf
RH18521223-V03-16,Review and Herald for 1852 - Vol. 03 - No. 16,12,23,1852,RH,3,16,http://documents.adventistarchives.org/Periodicals/RH/RH18521223-V03-16.pdf
YI18520801-V01-01,The Youth's Instructor for 1852 - Vol. 01 - No. 01,8,1,1852,YI,1,1,http://documents.adventistarchives.org/Periodicals/YI/YI18520801-V01-01.pdf
YI18521001-V01-02,The Youth's Instructor for 1852 - Vol. 01 - No. 02,10,1,1852,YI,1,2,http://documents.adventistarchives.org/Periodicals/YI/YI18521001-V01-02.pdf
YI18521201-V01-03,The Youth's Instructor for 1852 - Vol. 01 - No. 03,12,1,1852,YI,1,3,http://documents.adventistarchives.org/Periodicals/YI/YI18521201-V01-03.pdf
RH18530106-V03-17,Review and Herald for 1853 - Vol. 03 - No. 17,1,6,1853,RH,3,17,http://documents.adventistarchives.org/Periodicals/RH/RH18530106-V03-17.pdf
RH18530120-V03-18,Review and Herald for 1853 - Vol. 03 - No. 18,1,20,1853,RH,3,18,http://documents.adventistarchives.org/Periodicals/RH/RH18530120-V03-18.pdf
RH18530203-V03-19,Review and Herald for 1853 - Vol. 03 - No. 19,2,3,1853,RH,3,19,http://documents.adventistarchives.org/Periodicals/RH/RH18530203-V03-19.pdf
RH18530217-V03-20,Review and Herald for 1853 - Vol. 03 - No. 20,2,17,1853,RH,3,20,http://documents.adventistarchives.org/Periodicals/RH/RH18530217-V03-20.pdf
RH18530303-V03-21,Review and Herald for 1853 - Vol. 03 - No. 21,3,3,1853,RH,3,21,http://documents.adventistarchives.org/Periodicals/RH/RH18530303-V03-21.pdf
RH18530317-V03-22,Review and Herald for 1853 - Vol. 03 - No. 22,3,17,1853,RH,3,22,http://documents.adventistarchives.org/Periodicals/RH/RH18530317-V03-22.pdf
RH18530331-V03-23,Review and Herald for 1853 - Vol. 03 - No. 23,3,31,1853,RH,3,23,http://documents.adventistarchives.org/Periodicals/RH/RH18530331-V03-23.pdf
RH18530414-V03-24,Review and Herald for 1853 - Vol. 03 - No. 24,4,14,1853,RH,3,24,http://documents.adventistarchives.org/Periodicals/RH/RH18530414-V03-24.pdf
RH18530428-V03-25,Review and Herald for 1853 - Vol. 03 - No. 25,4,28,1853,RH,3,25,http://documents.adventistarchives.org/Periodicals/RH/RH18530428-V03-25.pdf
RH18530512-V03-26,Review and Herald for 1853 - Vol. 03 - No. 26,5,12,1853,RH,3,26,http://documents.adventistarchives.org/Periodicals/RH/RH18530512-V03-26.pdf
RH18530526-V04-01,Review and Herald for 1853 - Vol. 04 - No. 01,5,26,1853,RH,4,1,http://documents.adventistarchives.org/Periodicals/RH/RH18530526-V04-01.pdf
RH18530609-V04-02,Review and Herald for 1853 - Vol. 04 - No. 02,6,9,1853,RH,4,2,http://documents.adventistarchives.org/Periodicals/RH/RH18530609-V04-02.pdf
RH18530623-V04-03,Review and Herald for 1853 - Vol. 04 - No. 03,6,23,1853,RH,4,3,http://documents.adventistarchives.org/Periodicals/RH/RH18530623-V04-03.pdf
